prod,rvr,METAR,pn,rvrs,METARS,ps,rvri,METARI,pi,rvrf,METARF,pf
ILS W RWY 18,1200,43752,"0.999862882215823",1200,43752,"0.999862882215823",1200,43752,"0.999862882215823",750,43757,"0.999977147035971"
ILS Z RWY 18 CAT I,1200,43752,"0.999862882215823",1200,43752,"0.999862882215823",1200,43752,"0.999862882215823",750,43757,"0.999977147035971"
RNP 0.15 (AR) Y RWY 18,1400,43751,"0.999840029251794",1200,43752,"0.999862882215823",1200,43752,"0.999862882215823",750,43757,"0.999977147035971"
RNP 0.2 (AR) Y RWY 18,1500,43751,"0.999840029251794",1200,43752,"0.999862882215823",1200,43752,"0.999862882215823",800,43757,"0.999977147035971"
LOC Z RWY 18,1600,43747,"0.999748617395676",1200,43752,"0.999862882215823",1200,43752,"0.999862882215823",800,43757,"0.999977147035971"
LOC Z RWY 18,1600,43747,"0.999748617395676",1200,43752,"0.999862882215823",1200,43752,"0.999862882215823",800,43757,"0.999977147035971"
VOR RWY 18,1600,43747,"0.999748617395676",1200,43752,"0.999862882215823",1200,43752,"0.999862882215823",800,43757,"0.999977147035971"
VOR RWY 18,1600,43747,"0.999748617395676",1200,43752,"0.999862882215823",1200,43752,"0.999862882215823",800,43757,"0.999977147035971"
RNP 0.3 (AR) Y RWY 18,2200,43696,"0.998583116230175",1200,43752,"0.999862882215823",1200,43752,"0.999862882215823",800,43757,"0.999977147035971"
RNP RWY 18 LNAV,2200,43696,"0.998583116230175",1300,43751,"0.999840029251794",1200,43752,"0.999862882215823",800,43757,"0.999977147035971"
RNP RWY 18 LNAV,2200,43696,"0.998583116230175",2000,43745,"0.999702911467617",1800,43746,"0.999725764431647",1500,43751,"0.999840029251794"
RNP RWY 18 LNAV/VNAV,2200,43696,"0.998583116230175",2000,43745,"0.999702911467617",1800,43746,"0.999725764431647",1500,43751,"0.999840029251794"
LOC Z RWY 18,2400,43693,"0.998514557338087",2100,43699,"0.998651675122263",1900,43745,"0.999702911467617",1600,43747,"0.999748617395676"
RNP RWY 18 LNAV,2600,43642,"0.997349056172586",2400,43693,"0.998514557338087",2200,43696,"0.998583116230175",1900,43745,"0.999702911467617"
VOR RWY 18,2900,43641,"0.997326203208556",2700,43642,"0.997349056172586",2500,43693,"0.998514557338087",2200,43696,"0.998583116230175"
